confidence,source_a,title_a,company_a,tech_a,url_a,source_b,title_b,company_b,tech_b,url_b
low,"profession-intern","Rendszerszervező","GRÁNIT Bank Nyrt.","sql; microsoft office; chatgpt; copilot; claude; agile; hungarian; english","https://www.profession.hu/allas/rendszerszervezo-granit-bank-nyrt-3001778","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"profession-intern","Rendszerszervező","GRÁNIT Bank Nyrt.","sql; microsoft office; chatgpt; copilot; claude; agile; hungarian; english","https://www.profession.hu/allas/rendszerszervezo-granit-bank-nyrt-3001778","mbh","Rendszerszervező","","graphql; postgresql; oracle; uml; jira; confluence","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22094/rendszerszervezo/it"
low,"LinkedIn","rendszerszervezo","generali biztosito","sql; xml; xsd; soap; english","https://hu.linkedin.com/jobs/view/rendszerszervez%C5%91-at-generali-biztos%C3%ADt%C3%B3-4466466344?position=9&pageNum=9&refId=RqiDo82W54C1WebXChV7Nw%3D%3D&trackingId=phttP5u5iEPAeJeloHObvQ%3D%3D","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"LinkedIn","rendszerszervezo","generali biztosito","sql; xml; xsd; soap; english","https://hu.linkedin.com/jobs/view/rendszerszervez%C5%91-at-generali-biztos%C3%ADt%C3%B3-4466466344?position=9&pageNum=9&refId=RqiDo82W54C1WebXChV7Nw%3D%3D&trackingId=phttP5u5iEPAeJeloHObvQ%3D%3D","mbh","Rendszerszervező","","graphql; postgresql; oracle; uml; jira; confluence","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22094/rendszerszervezo/it"
low,"profession-intern","Rendszerszervező","Pillér Nonprofit Kft","sql; pl/sql; oracle; uml; microservices; english","https://www.profession.hu/allas/rendszerszervezo-piller-nonprofit-kft-2995633","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"mbh","Rendszerszervező","","sql; jira; excel; english","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22025/rendszerszervezo/it","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"mbh","Rendszerszervező","","sql; jira; excel; english","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22025/rendszerszervezo/it","profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; aws; docker; kubernetes; github; ci/cd; rest api; scrum; devops; soap; agile","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2987145"
low,"profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; agile; english","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2988498","otp","Rendszerszervező","","swift; sql; kafka; rest api; uml; bpmn","https://karrier.otpbank.hu/otp/job/Budapest-Rendszerszervez%C5%91-1131/1427282933/"
low,"profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; agile; english","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2988498","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; agile; english","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2988498","mbh","Rendszerszervező","","sql; graphql; linux; xml; uml; jira; confluence; windows","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22096/rendszerszervezo/it"
