confidence,source_a,title_a,company_a,tech_a,url_a,source_b,title_b,company_b,tech_b,url_b
high,"talent","PL1 Developer","Allianz Technology SE Hungary Branch","python; machine learning; nlp","https://hu.talent.com/view?id=549603485004729655","talent","PL1 developer","Allianz Technology SE Hungary Branch","java","https://hu.talent.com/view?id=610222443064860511"
low,"schonherz","Fullstack fejlesztő","","agile; english","https://schonherz.hu/diakmunka/budapest/fejleszto---tesztelo/42068-fullstack-fejleszto","AI-scraped","Fullstack fejlesztő","Ponte.hu Kft.","typescript; python; java; sql; react; angular; next.js; node.js; spring boot; spring; hibernate; graphql; aws; docker; git; maven; gradle; llm; rag","https://www.ponte.hu/karrier/fullstack-fejleszto"
low,"qdiak","Szoftverfejlesztő gyakornok","","python; dart; vba; wordpress; excel; microsoft 365; flutter; chatgpt; shopify","https://cloud.qdiak.hu/munkak/70242f51-5bac-42b1-a061-66f325eb07e0","LinkedIn","szoftverfejleszto gyakornok","atoll technologies plc.","typescript; java; sql; angular; spring boot; spring; github; git; rest api; agile; hungarian; english","https://hu.linkedin.com/jobs/view/szoftverfejleszt%C5%91-gyakornok-at-atoll-technologies-plc-4463484497?position=48&pageNum=0&refId=EXprLFuVtTu1thWeAUO3sQ%3D%3D&trackingId=i%2BMTiudfAtncZ7fNfSUw0g%3D%3D"
low,"qdiak","Szoftverfejlesztő gyakornok","","python; dart; vba; wordpress; excel; microsoft 365; flutter; chatgpt; shopify","https://cloud.qdiak.hu/munkak/70242f51-5bac-42b1-a061-66f325eb07e0","wherewework","Szoftverfejlesztő gyakornok","Bosch Magyarország","typescript; c#; .net; .net framework; devops; english","https://www.wherewework.hu/en/jobs/szoftverfejleszto-gyakornok/174994"
low,"qdiak","Szoftverfejlesztő gyakornok","","python; dart; vba; wordpress; excel; microsoft 365; flutter; chatgpt; shopify","https://cloud.qdiak.hu/munkak/70242f51-5bac-42b1-a061-66f325eb07e0","AI-scraped","Szoftverfejlesztő gyakornok","Vadalarm","php; html; angular; jquery; bootstrap; docker; android; ios","https://www.vadalarm.hu/karrier/it-gyakornok"
low,"qdiak","Szoftverfejlesztő gyakornok","","python; dart; vba; wordpress; excel; microsoft 365; flutter; chatgpt; shopify","https://cloud.qdiak.hu/munkak/70242f51-5bac-42b1-a061-66f325eb07e0","zyntern","Szoftverfejlesztő gyakornok","TopiWork Iskolaszövetkezet","java; vue; node.js; linux","https://zyntern.com/job/18702-szoftverfejleszto-gyakornok"
low,"kuka","DevOps Engineer","","python; kibana; azure; kubernetes; ci/cd; terraform; azure devops; vmware; infrastructure as code; agile; devops; devsecops; english","https://jobs.kuka.com/job/Budapest-DevSecOps-Engineer/1367197355/","talent","DevOps Engineer","Allianz Technology SE Hungary Branch","sql; oracle","https://hu.talent.com/view?id=549603488561171767"
medium,"kuka","Data Protection Specialist","","azure; microsoft 365; iso 27001; english; german","https://jobs.kuka.com/job/Data-Protection-Specialist/1366325655/","LinkedIn","data protection specialist","szerencsejatek zrt.","elk stack; elt; microsoft office","https://hu.linkedin.com/jobs/view/data-protection-specialist-at-szerencsej%C3%A1t%C3%A9k-zrt-4455297544?position=36&pageNum=0&refId=CHIKh7y907DjG8fCxc8PWg%3D%3D&trackingId=TwLOnAjyaPZdFIV%2FSNmNXQ%3D%3D"
medium,"qdiak","IT Support munkatárs","","cpanel","https://cloud.qdiak.hu/munkak/f94a3756-3c95-49a7-820b-b41b0b925026","qdiak","IT Support munkatárs","","excel","https://cloud.qdiak.hu/munkak/1d76d5ba-ecca-418c-bdb3-644ba5a68298"
low,"wherewework","DevOps Engineer","Technology & Software Employers in Hungary","kubernetes; devops","https://www.wherewework.hu/en/jobs/devops-engineer/174680","talent","DevOps Engineer","Allianz Technology SE Hungary Branch","sql; oracle","https://hu.talent.com/view?id=549603488561171767"
low,"wherewework","Cloud Engineer","Technology & Software Employers in Hungary","kubernetes; devops","https://www.wherewework.hu/en/jobs/cloud-engineer/174690","AI-scraped","Cloud Engineer","ALDI International IT Services","python; sql; sql server; apache spark; databricks; azure; terraform; etl; powershell","https://jobs.aldi-hofer.com/aldi-karrier-hu/job/Budapest-Cloud-Engineer-Pest-1112/1410685233/"
