confidence,source_a,title_a,company_a,tech_a,url_a,source_b,title_b,company_b,tech_b,url_b
low,"LinkedIn","data engineer","msci inc.","python; sql; databricks; snowflake; gcp; excel; apache airflow","https://hu.linkedin.com/jobs/view/data-engineer-at-msci-inc-4465228438?position=28&pageNum=0&refId=4r4nhQKZGjfOGbIwKbQpkA%3D%3D&trackingId=b4JQ4KLU9AbbBbEOGFbHoA%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"LinkedIn","data engineer","harman international","python; sql; power bi; apache spark; delta lake; databricks; tableau; aws; azure; github; git; rest api; json; etl; elt; agile; chatgpt; copilot","https://hu.linkedin.com/jobs/view/data-engineer-at-harman-international-4444568624?position=4&pageNum=0&refId=msM6NDj2OksU9yih77xdHg%3D%3D&trackingId=4uGlqjFScXG0QQxuCLPGVQ%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"alllocaljobs","Test Engineer","886 LocusView Ltd","typescript; azure; docker; ci/cd; jenkins; azure devops; regression testing; exploratory testing; jira; microservices; agile; devops","https://hu.alllocaljobs.com/%C3%A1ll%C3%A1s-E2tLGGW1G","wherewework","Test Engineer","Electronics & Battery Employers in Hungary","python","https://www.wherewework.hu/en/jobs/test-engineer/172114"
low,"profession-intern","Data Analyst","Media Markt Magyarország Kft.","python; sql; vba; power bi; gcp; excel; data warehouse; bigquery; looker; hungarian; english","https://www.profession.hu/allas/data-analyst-media-markt-magyarorszag-kft-2997846","wherewework","Data Analyst","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-analyst/174687"
low,"profession-intern","Data Engineer","Betsson Group","python; postgresql; power bi; tableau; etl; english; russian","https://www.profession.hu/allas/data-engineer-betsson-group-2985658","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"alllocaljobs","Test Engineer","SEON","typescript; java; github actions; github; ci/cd; rest api; playwright; test automation; manual testing; agile","https://hu.alllocaljobs.com/%C3%A1ll%C3%A1s-OetmAWJNl","wherewework","Test Engineer","Electronics & Battery Employers in Hungary","python","https://www.wherewework.hu/en/jobs/test-engineer/172114"
low,"LinkedIn","data analyst","bankmonitor","python; sql; power bi","https://hu.linkedin.com/jobs/view/data-analyst-at-bankmonitor-4464634114?position=33&pageNum=0&refId=klW69T25TdglCyLG9zRDOw%3D%3D&trackingId=x4M4lkIuEy0lNpc8fW%2B9Rg%3D%3D","wherewework","Data Analyst","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-analyst/174687"
low,"LinkedIn","data engineer","tessero","databricks; aws; terraform; cloudformation; infrastructure as code; test automation; machine learning","https://hu.linkedin.com/jobs/view/data-engineer-at-tessero-4464476657?position=8&pageNum=0&refId=xJDE%2BGrnyBISyZ4E67uU0A%3D%3D&trackingId=xMXn41xE%2BYBndFdgiuqsIA%3D%3D","wherewework","Data Engineer","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-engineer/174684"
low,"LinkedIn","data analyst","morgan stanley","python; sql; power bi; tableau; etl; prompt engineering","https://hu.linkedin.com/jobs/view/data-analyst-at-morgan-stanley-4464443667?position=23&pageNum=0&refId=XQlmxcKrIwoir%2FBvgAof4g%3D%3D&trackingId=Er98DBe5dWYSlRaqk7L0tw%3D%3D","wherewework","Data Analyst","Technology & Software Employers in Hungary","data science","https://www.wherewework.hu/en/jobs/data-analyst/174687"
medium,"LinkedIn","c software engineer","scientific games","c++; perl; sql; docker; linux; scrum; kanban","https://hu.linkedin.com/jobs/view/c-software-engineer-at-scientific-games-4462932437?position=12&pageNum=0&refId=jkK33%2BjUGu%2BeNU7bsl5xAg%3D%3D&trackingId=JzXsembXCAnwSJlzSBExSA%3D%3D","wherewework","Software Engineer (C#)","Technology & Software Employers in Hungary","c#","https://www.wherewework.hu/en/jobs/software-engineer-c/172690"
